"","heading","difficulty","languages","description","images"
"1","Dictionary web app","3intermediate","HTMLCSSJSAPI","In this project, you'll integrate with the Dictionary API to create a real-world dictionary web app. Additional tests include colour themes and font selection.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/pctb0lbjgupas4lccsjd.jpg"
"2","Multi-step form","4advanced","HTMLCSSJS","An excellent test for your form-building and JS skills, this project will pose many challenges along the way to completion.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/tvh6nxttohpyf5w6o3z8.jpg"
"3","Single-page developer portfolio","2junior","HTMLCSSJS","Test your HTML and CSS skills with this portfolio site. Basic JS knowledge is needed for the form validation. You can even customize and use this as your own site!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/vxhhu11tdpmyw2srepdk.jpg"
"4","News homepage","2junior","HTMLCSSJS","This news homepage will be an excellent opportunity to practice your CSS Grid skills. There will be lots of tricky decisions to make and plenty of learning opportunities!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/abbzt6kmkawmpbj7evxx.jpg"
"5","Connect Four game","4advanced","HTMLCSSJS","Your JS knowledge will be challenged in this fun project, where you'll build a two-player game. You'll write the logic for the game and how to test for win conditions.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/l12uqethss9x3xcfmiki.jpg"
"6","Notifications page","2junior","HTMLCSSJS","This project will be a brilliant test of your HTML, CSS, and basic JavaScript skills. You'll use JS to toggle the visual state of the notifications.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/wgwtjhvnsjnax4k6rdqw.jpg"
"7","Password generator app","3intermediate","HTMLCSSJS","This app will be an excellent test of your HTML, CSS, and JS skills. You'll build custom form controls and use JavaScript to generate random passwords.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/xt7ivwv5joqrphnncg0t.jpg"
"8","Interactive card details form","2junior","HTMLCSSJS","This fun project will be an excellent way to practice DOM manipulation and form validation while also putting your HTML and CSS skills to the test.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/u57dcsnhvoalnixjt6kb.jpg"
"9","Single-page design portfolio","2junior","HTMLCSSJS","This project will test your layout skills, especially in making the site fully responsive. The skills grid is a perfect chance to practice CSS Grid.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ygneypulpefsmtf6acbn.jpg"
"10","Product preview card component","1newbie","HTMLCSS","This HTML & CSS-only challenge will be perfect for anyone starting to build responsive projects.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/lftjtn81b7brs2icc898.jpg"
"11","Kanban task management web app","5guru","HTMLCSSJS","In this project, you'll build a fully-functional task management app with a light/dark mode toggle. We provide a JSON file, so you can practice working with JSON data.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/o1mwa6sv5w41z8bj3gfa.jpg"
"12","Expenses chart component","2junior","HTMLCSSJS","In this challenge, you'll create a bar chart component from scratch. We provide a local JSON file, so you can add the chart data dynamically if you choose.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/xhxtaym7uzypzb37rpcc.jpg"
"13","Skilled e-learning landing page","1newbie","HTMLCSS","This responsive page is perfect if you've learned the fundamentals of HTML & CSS, completed a couple of smaller projects, and want to take it up a notch.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/tgjqtvyeakym2rwnfumc.jpg"
"14","Intro section with dropdown navigation","2junior","HTMLCSSJS","This challenge will test your ability to create dropdown navigation menus, a common pattern on larger sites. It will also provide some nice basic layout challenges.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/rlaxdjplmeul4qe1qvh6.jpg"
"15","In-browser markdown editor","3intermediate","HTMLCSSJS","In this project, you'll build a fully-functional in-browser markdown editor application with a light/dark mode toggle. It's also perfect to build as a full-stack app!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/r2w3h15oximza3p1baqt.jpg"
"16","Interactive rating component","1newbie","HTMLCSSJS","This is a nice, small project to practice handling user interactions and updating the DOM. Perfect for anyone who has learned the basics of JavaScript!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/hxx2bhmtmeelt0a98zos.jpg"
"17","Entertainment web app","4advanced","HTMLCSSJS","This multi-page entertainment web app will have you working with JSON data, routing, state management, and search functionality.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/maz79cid0jllq0js0qyi.jpg"
"18","Advice generator app","2junior","HTMLCSSJSAPI","The perfect project if you're learning how to interact with 3rd-party APIs. This challenge uses the Advice Slip API to generate random quotes of advice.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/sfl8uqvq75wnnr559ksp.jpg"
"19","Suite landing page","2junior","HTMLCSS","This small-ish HTML and CSS only landing page includes some interesting layout decisions. Perfect if you want to put your layout and responsive skills to the test!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/mflwrbyf8kjvqvpxq9uj.jpg"
"20","QR code component","1newbie","HTMLCSS","A perfect first challenge if you're new to HTML and CSS. The card layout doesn't shift, so it's ideal if you haven't learned about building responsive layouts yet.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/qh97gysgjrzqyqlig2al.jpg"
"21","Tic Tac Toe game","3intermediate","HTMLCSSJS","This classic practice project for web developers is a great exercise to complete. It will test your HTML semantics, your grid layout skill, as well as your JS logic.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/cfr9ssywcgjpcg7or928.jpg"
"22","Interactive comments section","3intermediate","HTMLCSSJS","This is project will put your JavaScript skills to the test. We provide a JSON file to pull the data, but it's also a perfect project to build as a full-stack CRUD app!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/i8zblmqsbqixz1tbhc0v.jpg"
"23","Art gallery website","2junior","HTMLCSS","This two-page art gallery project will be perfect if you're ready to branch out beyond single landing pages. There are some particularly interesting layout challenges!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/bg8nbm2pzsg3hpuqqmmv.jpg"
"24","NFT preview card component","1newbie","HTMLCSS","This HTML & CSS only challenge is perfect for anyone just starting out or anyone wanting a small project to play around with.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/rinokvkluq95madbvtmk.jpg"
"25","Equalizer landing page","1newbie","HTMLCSS","This challenge will be a perfect test of your HTML & CSS skills. If you're starting to get comfortable building smaller projects, this will be a great step up.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/hfqgixemrcybrmoomqsz.jpg"
